open,high,low,close,volume,market,viable
0.00053,0.00075,0.00053,0.00069,20,934,1
0.00021,0.00022,2.00E-04,0.00022,30,27228,1
0.00047,0.00069,0.00042,0.00045,36,2858,1
0.00157,0.00172,0.00148,0.00152,4849,1455490,1
0.0163,0.02302,0.01618,0.01817,1,6492,1
0.00215,0.00215,0.00205,0.00206,3,1597,1
0.0131,0.01469,0.0103,0.01129,950,135322,1
0.01112,0.01154,0.01018,0.01022,321,52090,1
0.02091,0.03525,0.02087,0.03498,116,3695,1
0.00041,0.00044,4.00E-04,4.00E-04,2,7715,1
0.06298,0.06702,0.05293,0.05456,2672,107013,0
0.00178,0.00186,0.00175,0.0018,136,42921,1
1.00E-05,1.00E-05,1.00E-05,1.00E-05,94,12295,1
0.00645,0.00645,0.00419,0.00515,1395,33627,1
2.00E-05,3.00E-05,2.00E-05,2.00E-05,4,480,1
0.00036,0.00041,0.00035,0.00038,1,4475,1
0.99805,1.03,0.94231,0.98288,37303,1619470,0
0.02814,0.02889,0.02127,0.02413,138,1215270,0
0.00014,0.00016,0.00014,0.00016,1042,1256480,1
1.00E-05,1.00E-05,1.00E-05,1.00E-05,65,457537,1
0.02011,0.02053,0.01859,0.01897,124685,157241000,1
1.00E-04,1.00E-04,9.00E-05,1.00E-04,5,1923,0
1.00E-05,1.00E-05,1.00E-05,1.00E-05,12,590,1
0.03824,0.03848,0.03409,0.03499,86,23396,1
0.06125,0.06744,0.06125,0.06291,290,752702,1
0.10732,0.11053,0.10314,0.10865,318,435601,1
0.00649,0.00687,0.00564,0.00565,7168,400125,1
0.01932,0.01988,0.01842,0.01987,114,59055,1
0.00935,0.01276,0.00926,0.0127,72,1058930,1
0.00389,0.00392,0.00383,0.00391,48089,9951010,1
0.02371,0.02393,0.02179,0.022,327203,2279530,1
0.00029,0.00033,0.00018,0.00029,143,17589,1
0.00033,0.00038,0.00032,0.00038,1491,358110,1
0.2299,0.2313,0.22177,0.22541,40,222737,1
0.00107,0.00177,0.00101,0.00114,9977,1275680,0
0.00088,0.00239,0.00088,0.00116,1,20649,1
5.00E-05,5.00E-05,5.00E-05,5.00E-05,1,7826,1
